time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
5.333234400000000000e+13	9.705353731428300534e+02	3.207227547105729667e-11	0.000000000000000000e+00	1.067957174978158996e+07
5.336390160000000000e+13	9.701563265283233477e+02	3.206965241087021161e-11	0.000000000000000000e+00	1.067919988686460629e+07
5.339545920000000000e+13	9.697792914681152752e+02	3.206647012600746969e-11	0.000000000000000000e+00	1.067883056286000088e+07
5.342701680000000000e+13	9.694042702861296448e+02	3.206473847807795166e-11	0.000000000000000000e+00	1.067846009059674107e+07
5.345857440000000000e+13	9.690312611011862600e+02	3.206217026740751943e-11	0.000000000000000000e+00	1.067809552288601920e+07
5.349013200000000000e+13	9.686602595547857391e+02	3.205961274199516775e-11	0.000000000000000000e+00	1.067773344099773094e+07
5.352168960000000000e+13	9.682912598254494014e+02	3.205706601737965573e-11	0.000000000000000000e+00	1.067737383458950371e+07
5.355324720000000000e+13	9.679242552243739510e+02	3.205591254826591715e-11	0.000000000000000000e+00	1.067701600134735554e+07
5.358480480000000000e+13	9.675592385453810493e+02	3.205338075615095715e-11	0.000000000000000000e+00	1.067665997643063031e+07
5.361636240000000000e+13	9.671962022706705966e+02	3.205085994390614971e-11	0.000000000000000000e+00	1.067630640208604001e+07
5.364792000000000000e+13	9.668351386919499646e+02	3.204993274718161158e-11	0.000000000000000000e+00	1.067595642569476552e+07
5.367947760000000000e+13	9.664763328506354583e+02	3.204742686554459889e-11	0.000000000000000000e+00	1.067560618874709122e+07
5.371103520000000000e+13	9.661193629372481837e+02	3.204325459349297547e-11	0.000000000000000000e+00	1.067525837729226612e+07
5.374259280000000000e+13	9.657642710182403789e+02	3.204082313815001591e-11	0.000000000000000000e+00	1.067491460426311009e+07
5.377415040000000000e+13	9.654110784506206073e+02	3.203840209214524647e-11	0.000000000000000000e+00	1.067457318468817696e+07
5.380570800000000000e+13	9.650597944349715362e+02	3.203599157123733997e-11	0.000000000000000000e+00	1.067423410849210992e+07
5.383726560000000000e+13	9.647104210340362442e+02	3.203359168029324949e-11	0.000000000000000000e+00	1.067389736548742093e+07
5.386882320000000000e+13	9.643629561175763456e+02	3.203120251717832888e-11	0.000000000000000000e+00	1.067356294538517110e+07
5.390038080000000000e+13	9.640173950905273159e+02	3.202882417570228484e-11	0.000000000000000000e+00	1.067323083780173585e+07
5.393193840000000000e+13	9.636737319072852870e+02	3.202895650124469364e-11	0.000000000000000000e+00	1.067290173832031526e+07
5.396349600000000000e+13	9.633319596671464069e+02	3.202604405520832398e-11	0.000000000000000000e+00	1.067257180470055901e+07
5.399505360000000000e+13	9.629920709639972074e+02	3.202367911672082661e-11	0.000000000000000000e+00	1.067224469009560719e+07
5.402661120000000000e+13	9.626540580918134538e+02	3.202132533273527424e-11	0.000000000000000000e+00	1.067191986456190422e+07
5.405816880000000000e+13	9.623179131655543870e+02	3.201898279254940706e-11	0.000000000000000000e+00	1.067159731730281375e+07
5.408972640000000000e+13	9.619836281924139030e+02	3.201665156767273699e-11	0.000000000000000000e+00	1.067127703743523173e+07
5.412128400000000000e+13	9.616511951139403891e+02	3.201546327062281430e-11	0.000000000000000000e+00	1.067095901400677301e+07
5.415284160000000000e+13	9.613206058310593107e+02	3.201315128106879019e-11	0.000000000000000000e+00	1.067064214075482637e+07
5.418439920000000000e+13	9.609918522190627073e+02	3.201120637757775046e-11	0.000000000000000000e+00	1.067032750532380491e+07
5.421595680000000000e+13	9.606649261367039117e+02	3.201085245307783613e-11	0.000000000000000000e+00	1.067001052394793183e+07
5.424751440000000000e+13	9.603398194318334617e+02	3.201154529359376218e-11	0.000000000000000000e+00	1.066969927160707489e+07
5.427907200000000000e+13	9.600168166422125751e+02	3.200926655844355537e-11	0.000000000000000000e+00	1.066938619064352289e+07
5.431062960000000000e+13	9.596954959050859770e+02	3.200591899151154771e-11	0.000000000000000000e+00	1.066907531531322002e+07
5.434218720000000000e+13	9.593758990748458473e+02	3.200369054557413664e-11	0.000000000000000000e+00	1.066876768015994877e+07
5.437374480000000000e+13	9.590580473248477347e+02	3.200147285905565163e-11	0.000000000000000000e+00	1.066846220196401514e+07
5.440530240000000000e+13	9.587419496971889430e+02	3.199926602539767814e-11	0.000000000000000000e+00	1.066815887031122111e+07
5.443686000000000000e+13	9.584276081182753160e+02	3.199707011965981927e-11	0.000000000000000000e+00	1.066785767469684593e+07
5.446841760000000000e+13	9.581150203412197470e+02	3.199558912191606235e-11	0.000000000000000000e+00	1.066755860454363748e+07
5.449997520000000000e+13	9.578041816721156465e+02	3.199592742876713226e-11	0.000000000000000000e+00	1.066725703069221042e+07
5.453153280000000000e+13	9.574950859829293677e+02	3.199914137193347233e-11	0.000000000000000000e+00	1.066696833064123802e+07
